"state","year","student_count"
"New York","2011","2677412.0"
"New York","2012","2640611.0"
"New York","2013","2629805.0"
"New York","2014","2618542.0"
"New York","2015","2631406.0"
"New York","2016","2590714.0"
"New York","2017","2598130.0"
"New York","2018","2582640.0"
"New York","2019","2550954.0"
"New York","2020","2531382.0"
"North Carolina","2010","1444409.0"
"North Carolina","2011","1448117.0"
"North Carolina","2012","1462172.0"
"North Carolina","2013","1468228.0"
"North Carolina","2014","1441391.0"
"North Carolina","2015","1465031.0"
"North Carolina","2016","1462036.0"
"North Carolina","2017","1457600.0"
"North Carolina","2018","1452212.0"
"North Carolina","2019","1440547.0"
"North Carolina","2020","1441549.0"
"North Dakota","2010","94997.0"
"North Dakota","2011","96255.0"
"North Dakota","2012","97560.0"
"North Dakota","2013","101025.0"
"North Dakota","2014","103265.0"
"North Dakota","2015","106061.0"
"North Dakota","2016","108384.0"
"North Dakota","2017","109667.0"
"North Dakota","2018","111882.0"
"North Dakota","2019","113802.0"
"North Dakota","2020","116129.0"
"Ohio","2010","1671973.0"
"Ohio","2011","1655534.0"
"Ohio","2012","1631869.0"
"Ohio","2013","1613718.0"
"Ohio","2014","1601565.0"
"Ohio","2015","1600121.0"
"Ohio","2016","1595398.0"
"Ohio","2017","1590876.0"
"Ohio","2018","1587451.0"
"Ohio","2019","1583056.0"
"Ohio","2020","1578472.0"
"Oklahoma","2010","653592.0"
"Oklahoma","2011","658163.0"
"Oklahoma","2012","664200.0"
"Oklahoma","2013","671445.0"
"Oklahoma","2014","670347.0"
"Oklahoma","2015","671715.0"
"Oklahoma","2016","672777.0"
"Oklahoma","2017","669462.0"
"Oklahoma","2018","665737.0"
"Oklahoma","2019","660161.0"
"Oklahoma","2020","657468.0"
"Oregon","2010","560239.0"
"Oregon","2011","559631.0"
"Oregon","2012","566531.0"
"Oregon","2013","564109.0"
"Oregon","2014","566554.0"
"Oregon","2015","569170.0"
"Oregon","2016","574250.0"
"Oregon","2017","576907.0"
"Oregon","2018","578595.0"
"Oregon","2019","579631.0"
"Oregon","2020","580542.0"
"Pennsylvania","2010","1682887.0"
"Pennsylvania","2011","1675098.0"
"Pennsylvania","2012","1644759.0"
"Pennsylvania","2013","1623694.0"
"Pennsylvania","2014","1605278.0"
"Pennsylvania","2015","1589429.0"
"Pennsylvania","2016","1572587.0"
"Pennsylvania","2017","1576328.0"
"Pennsylvania","2018","1570061.0"
"Pennsylvania","2019","1568685.0"
"Pennsylvania","2020","1566855.0"
"Rhode Island","2010","141023.0"
"Rhode Island","2011","139157.0"
"Rhode Island","2012","137400.0"
"Rhode Island","2013","136401.0"
"Rhode Island","2014","135084.0"
"Rhode Island","2015","134574.0"
"Rhode Island","2016","133856.0"
"Rhode Island","2017","133230.0"
"Rhode Island","2018","133291.0"
"Rhode Island","2019","133091.0"
"Rhode Island","2020","132629.0"
"South Carolina","2010","715590.0"
"South Carolina","2011","714438.0"
"South Carolina","2012","715744.0"
"South Carolina","2013","722249.0"
"South Carolina","2014","729386.0"
"South Carolina","2015","737401.0"
"South Carolina","2016","743320.0"
"South Carolina","2017","747868.0"
"South Carolina","2018","750032.0"
"South Carolina","2019","750563.0"
"South Carolina","2020","754652.0"
"South Dakota","2010","123555.0"
"South Dakota","2011","125613.0"
"South Dakota","2012","127726.0"
"South Dakota","2013","130296.0"
"South Dakota","2014","130653.0"
"South Dakota","2015","132836.0"
"South Dakota","2016","134045.0"
"South Dakota","2017","136117.0"
"South Dakota","2018","137506.0"
"South Dakota","2019","138648.0"
"South Dakota","2020","139685.0"
"Tennessee","2010","971524.0"
"Tennessee","2011","986382.0"
"Tennessee","2012","998638.0"
"Tennessee","2013","992461.0"
"Tennessee","2014","992583.0"
"Tennessee","2015","994526.0"
"Tennessee","2016","999263.0"
"Tennessee","2017","1000658.0"
"Tennessee","2018","1000959.0"
"Tennessee","2019","1005049.0"
"Tennessee","2020","1013083.0"
"Texas","2010","4728815.0"
"Texas","2011","4800196.0"
"Texas","2012","4844744.0"
"Texas","2013","4897523.0"
"Texas","2014","4949469.0"
"Texas","2015","5004866.0"
"Texas","2016","5053291.0"
"Texas","2017","5087263.0"
"Texas","2018","5108638.0"
"Texas","2019","5119954.0"
"Texas","2020","5162293.0"
"Utah","2010","538676.0"
"Utah","2011","545395.0"
"Utah","2012","553873.0"
"Utah","2013","562315.0"
"Utah","2014","570423.0"
"Utah","2015","573913.0"
"Utah","2016","580215.0"
"Utah","2017","588119.0"
"Utah","2018","592601.0"
"Utah","2019","598470.0"
"Utah","2020","606880.0"
"Vermont","2010","87772.0"
"Vermont","2011","86744.0"
"Vermont","2012","88769.0"
"Vermont","2013","87549.0"
"Vermont","2014","86206.0"
"Vermont","2015","85189.0"
"Vermont","2016","85725.0"
"Vermont","2017","84896.0"
"Vermont","2018","85997.0"
"Vermont","2019","84849.0"
"Vermont","2020","86384.0"
"Virginia","2010","1244673.0"
"Virginia","2011","1250852.0"
"Virginia","2012","1257332.0"
"Virginia","2013","1264880.0"
"Virginia","2014","1273211.0"
"Virginia","2015","1279867.0"
"Virginia","2016","1283493.0"
"Virginia","2017","1286711.0"
"Virginia","2018","1291239.0"
"Virginia","2019","1289176.0"
"Virginia","2020","1296817.0"
"Washington","2010","1034698.0"
"Washington","2011","1042979.0"
"Washington","2012","1044856.0"
"Washington","2013","1050901.0"
"Washington","2014","1057773.0"
"Washington","2015","1072359.0"
"Washington","2016","1083973.0"
"Washington","2017","1098187.0"
"Washington","2018","1105669.0"
"Washington","2019","1119433.0"
"Washington","2020","1136285.0"
"West Virginia","2010","281828.0"
"West Virginia","2011","282130.0"
"West Virginia","2012","282088.0"
"West Virginia","2013","282310.0"
"West Virginia","2014","280265.0"
"West Virginia","2015","279565.0"
"West Virginia","2016","276764.0"
"West Virginia","2017","273170.0"
"West Virginia","2018","272266.0"
"West Virginia","2019","267976.0"
"West Virginia","2020","263486.0"
"Wisconsin","2010","864898.0"
"Wisconsin","2011","864251.0"
"Wisconsin","2012","863314.0"
"Wisconsin","2013","863737.0"
"Wisconsin","2014","865119.0"
"Wisconsin","2015","861761.0"
"Wisconsin","2016","857736.0"
"Wisconsin","2017","855924.0"
"Wisconsin","2018","851945.0"
"Wisconsin","2019","849956.0"
"Wisconsin","2020","845833.0"
"Wyoming","2010","87379.0"
"Wyoming","2011","88165.0"
"Wyoming","2012","89476.0"
"Wyoming","2013","90993.0"
"Wyoming","2014","92218.0"
"Wyoming","2015","93867.0"
"Wyoming","2016","94511.0"
"Wyoming","2017","93925.0"
"Wyoming","2018","93647.0"
"Wyoming","2019","93734.0"
"Wyoming","2020","94234.0"
